"Please correct the widgets you requested.","Please correct the widgets you requested."
"You deleted a total of %1 records.","You deleted a total of %1 records."
"We can\'t delete these widgets right now. Please review the log and try again.","We can\'t delete these widgets right now. Please review the log and try again."
"Delete","Delete"
"Are you sure you want to delete the selected widget(s)?","Are you sure you want to delete the selected widget(s)?"
